codigo_uf,estado,nome.estado,latitude.estado,longitude.estado,codigo_ibge_x,cidade,latitude,longitude,capital,codigo_municipio
11,RO,Rondônia,-10.83,-63.34,1100015,alta floresta d'oeste,-11.9283,-61.9953,0,33.0
11,RO,Rondônia,-10.83,-63.34,1100379,alto alegre dos parecis,-12.132,-61.835,0,2.0
11,RO,Rondônia,-10.83,-63.34,1100403,alto paraiso,-9.71429,-63.3188,0,675.0
11,RO,Rondônia,-10.83,-63.34,1100346,alvorada d'oeste,-11.3463,-62.2847,0,35.0
11,RO,Rondônia,-10.83,-63.34,1100023,ariquemes,-9.90571,-63.0325,0,7.0
11,RO,Rondônia,-10.83,-63.34,1100452,buritis,-10.1943,-63.8324,0,4.0
11,RO,Rondônia,-10.83,-63.34,1100031,cabixi,-13.4945,-60.552,0,37.0
11,RO,Rondônia,-10.83,-63.34,1100601,cacaulandia,-10.349,-62.9043,0,677.0
11,RO,Rondônia,-10.83,-63.34,1100049,cacoal,-11.4343,-61.4562,0,9.0
11,RO,Rondônia,-10.83,-63.34,1100700,campo novo de rondonia,-10.5712,-63.6266,0,679.0
11,RO,Rondônia,-10.83,-63.34,1100809,candeias do jamari,-8.7907,-63.7005,0,681.0
11,RO,Rondônia,-10.83,-63.34,1100908,castanheiras,-11.4253,-61.9482,0,691.0
11,RO,Rondônia,-10.83,-63.34,1100056,cerejeiras,-13.187,-60.8168,0,27.0
11,RO,Rondônia,-10.83,-63.34,1100924,chupinguaia,-12.5611,-60.8877,0,6.0
11,RO,Rondônia,-10.83,-63.34,1100064,colorado do oeste,-13.1174,-60.5454,0,23.0
11,RO,Rondônia,-10.83,-63.34,1100072,corumbiara,-12.9551,-60.8947,0,981.0
11,RO,Rondônia,-10.83,-63.34,1100080,costa marques,-12.4367,-64.22800000000001,0,21.0
11,RO,Rondônia,-10.83,-63.34,1100940,cujubim,-9.36065,-62.5846,0,8.0
11,RO,Rondônia,-10.83,-63.34,1100098,espigao d'oeste,-11.5266,-61.0252,0,25.0
11,RO,Rondônia,-10.83,-63.34,1101005,governador jorge teixeira,-10.61,-62.7371,0,693.0
11,RO,Rondônia,-10.83,-63.34,1100106,guajara-mirim,-10.7889,-65.3296,0,1.0
11,RO,Rondônia,-10.83,-63.34,1101104,itapua do oeste,-9.19687,-63.1809,0,683.0
11,RO,Rondônia,-10.83,-63.34,1100114,jaru,-10.4318,-62.4788,0,15.0
11,RO,Rondônia,-10.83,-63.34,1100122,ji-parana,-10.8777,-61.9322,0,5.0
11,RO,Rondônia,-10.83,-63.34,1100130,machadinho d'oeste,-9.44363,-61.9818,0,39.0
11,RO,Rondônia,-10.83,-63.34,1101203,ministro andreazza,-11.196,-61.5174,0,695.0
11,RO,Rondônia,-10.83,-63.34,1101302,mirante da serra,-11.029000000000002,-62.6696,0,697.0
11,RO,Rondônia,-10.83,-63.34,1101401,monte negro,-10.2458,-63.29,0,685.0
11,RO,Rondônia,-10.83,-63.34,1100148,nova brasilandia d'oeste,-11.7247,-62.3127,0,41.0
11,RO,Rondônia,-10.83,-63.34,1100338,nova mamore,-10.4077,-65.3346,0,47.0
11,RO,Rondônia,-10.83,-63.34,1101435,nova uniao,-10.9068,-62.5564,0,10.0
11,RO,Rondônia,-10.83,-63.34,1100502,novo horizonte do oeste,-11.6961,-61.9951,0,689.0
11,RO,Rondônia,-10.83,-63.34,1100155,ouro preto do oeste,-10.7167,-62.2565,0,17.0
11,RO,Rondônia,-10.83,-63.34,1101450,parecis,-12.1754,-61.6032,0,12.0
11,RO,Rondônia,-10.83,-63.34,1100189,pimenta bueno,-11.672,-61.198,0,11.0
11,RO,Rondônia,-10.83,-63.34,1101468,pimenteiras do oeste,-13.4823,-61.0471,0,14.0
11,RO,Rondônia,-10.83,-63.34,1100205,porto velho,-8.760769999999999,-63.8999,1,3.0
11,RO,Rondônia,-10.83,-63.34,1100254,presidente medici,-11.169,-61.8986,0,19.0
11,RO,Rondônia,-10.83,-63.34,1101476,primavera de rondonia,-11.8295,-61.3153,0,16.0
11,RO,Rondônia,-10.83,-63.34,1100262,rio crespo,-9.69965,-62.9011,0,687.0
11,RO,Rondônia,-10.83,-63.34,1100288,rolim de moura,-11.7271,-61.7714,0,29.0
11,RO,Rondônia,-10.83,-63.34,1100296,santa luzia d'oeste,-11.9074,-61.7777,0,43.0
11,RO,Rondônia,-10.83,-63.34,1101484,sao felipe d'oeste,-11.9023,-61.5026,0,18.0
11,RO,Rondônia,-10.83,-63.34,1101492,sao francisco do guapore,-12.052,-63.56800000000001,0,20.0
11,RO,Rondônia,-10.83,-63.34,1100320,sao miguel do guapore,-11.6953,-62.7192,0,45.0
11,RO,Rondônia,-10.83,-63.34,1101500,seringueiras,-11.8055,-63.0182,0,699.0
11,RO,Rondônia,-10.83,-63.34,1101559,teixeiropolis,-10.9056,-62.242,0,22.0
11,RO,Rondônia,-10.83,-63.34,1101609,theobroma,-10.2483,-62.3538,0,975.0
11,RO,Rondônia,-10.83,-63.34,1101708,urupa,-11.1261,-62.3639,0,977.0
11,RO,Rondônia,-10.83,-63.34,1101757,vale do anari,-9.86215,-62.1876,0,24.0
11,RO,Rondônia,-10.83,-63.34,1101807,vale do paraiso,-10.4465,-62.1352,0,979.0
11,RO,Rondônia,-10.83,-63.34,1100304,vilhena,-12.7502,-60.1488,0,13.0
12,AC,Acre,-8.77,-70.55,1200013,acrelandia,-9.82581,-66.8972,0,643.0
12,AC,Acre,-8.77,-70.55,1200054,assis brasil,-10.9298,-69.5738,0,157.0
12,AC,Acre,-8.77,-70.55,1200104,brasileia,-10.995,-68.7497,0,105.0
12,AC,Acre,-8.77,-70.55,1200138,bujari,-9.81528,-67.955,0,645.0
12,AC,Acre,-8.77,-70.55,1200179,capixaba,-10.566,-67.686,0,647.0
12,AC,Acre,-8.77,-70.55,1200203,cruzeiro do sul,-7.6276199999999985,-72.6756,0,107.0
12,AC,Acre,-8.77,-70.55,1200252,epitaciolandia,-11.0188,-68.7341,0,651.0
12,AC,Acre,-8.77,-70.55,1200302,feijo,-8.170539999999999,-70.351,0,113.0
12,AC,Acre,-8.77,-70.55,1200328,jordao,-9.43091,-71.8974,0,653.0
12,AC,Acre,-8.77,-70.55,1200336,mancio lima,-7.6165699999999985,-72.8997,0,109.0
12,AC,Acre,-8.77,-70.55,1200344,manoel urbano,-8.83291,-69.2679,0,155.0
12,AC,Acre,-8.77,-70.55,1200351,marechal thaumaturgo,-8.93898,-72.7997,0,655.0
12,AC,Acre,-8.77,-70.55,1200385,placido de castro,-10.2806,-67.1371,0,151.0
12,AC,Acre,-8.77,-70.55,1200807,porto acre,-9.58138,-67.5478,0,649.0
12,AC,Acre,-8.77,-70.55,1200393,porto walter,-8.26323,-72.7537,0,657.0
12,AC,Acre,-8.77,-70.55,1200401,rio branco,-9.97499,-67.8243,1,139.0
12,AC,Acre,-8.77,-70.55,1200427,rodrigues alves,-7.738639999999998,-72.661,0,659.0
12,AC,Acre,-8.77,-70.55,1200435,santa rosa do purus,-9.44652,-70.4902,0,661.0
12,AC,Acre,-8.77,-70.55,1200500,sena madureira,-9.06596,-68.6571,0,145.0
12,AC,Acre,-8.77,-70.55,1200450,senador guiomard,-10.1497,-67.7362,0,153.0
12,AC,Acre,-8.77,-70.55,1200609,tarauaca,-8.15697,-70.7722,0,147.0
12,AC,Acre,-8.77,-70.55,1200708,xapuri,-10.6516,-68.4969,0,149.0
13,AM,Amazonas,-3.47,-65.1,1300029,alvaraes,-3.22727,-64.8007,0,289.0
13,AM,Amazonas,-3.47,-65.1,1300060,amatura,-3.37455,-68.2005,0,291.0
13,AM,Amazonas,-3.47,-65.1,1300086,anama,-3.5669699999999995,-61.3963,0,293.0
13,AM,Amazonas,-3.47,-65.1,1300102,anori,-3.74603,-61.6575,0,203.0
13,AM,Amazonas,-3.47,-65.1,1300144,apui,-7.194089999999999,-59.896,0,969.0
13,AM,Amazonas,-3.47,-65.1,1300201,atalaia do norte,-4.37055,-70.1967,0,205.0
13,AM,Amazonas,-3.47,-65.1,1300300,autazes,-3.58574,-59.1256,0,207.0
13,AM,Amazonas,-3.47,-65.1,1300409,barcelos,-0.983373,-62.9311,0,209.0
13,AM,Amazonas,-3.47,-65.1,1300508,barreirinha,-2.79886,-57.0679,0,211.0
13,AM,Amazonas,-3.47,-65.1,1300607,benjamin constant,-4.377680000000002,-70.0342,0,213.0
13,AM,Amazonas,-3.47,-65.1,1300631,beruri,-3.89874,-61.3616,0,295.0
13,AM,Amazonas,-3.47,-65.1,1300680,boa vista do ramos,-2.9740900000000003,-57.5873,0,297.0
13,AM,Amazonas,-3.47,-65.1,1300706,boca do acre,-8.74232,-67.3919,0,215.0
